السؤال,خيار 1,خيار 2,خيار 3,خيار 4,الإجابة,التفسير,رابط الصورة,اسم الملف,Detailed,Subject,Source
What is the first-line treatment for uncomplicated Helicobacter pylori infection?,Amoxicillin + Clarithromycin + PPI (Triple therapy),Metronidazole + Tetracycline + PPI,Ciprofloxacin + PPI,Bismuth alone,Amoxicillin + Clarithromycin + PPI (Triple therapy),"Standard triple therapy for H. pylori consists of a PPI, clarithromycin, and amoxicillin (or metronidazole).",,,,Internal Medicine,مصدر2
"A patient presents with hyperpigmentation, fatigue, hypotension, and hyponatremia. Cortisol levels are low and ACTH is high. Diagnosis?",Cushing syndrome,Addison disease,Conn syndrome,Pheochromocytoma,Addison disease,"Primary adrenal insufficiency (Addison disease) presents with low cortisol, high ACTH (causing hyperpigmentation), and hyponatremia.",,,,Internal Medicine,مصدر2
Which anemia is characterized by a high Mean Corpuscular Volume (MCV) > 100 fL and hypersegmented neutrophils?,Iron deficiency anemia,Thalassemia,Megaloblastic anemia,Aplastic anemia,Megaloblastic anemia,Vitamin B12 or Folate deficiency causes megaloblastic anemia with macrocytic RBCs and hypersegmented neutrophils.,,,,Internal Medicine,مصدر2
"A 25-year-old female has a malar rash, joint pain, and proteinuria. Which lab test is most sensitive for this condition?",Anti-dsDNA,Anti-Smith,ANA (Antinuclear antibody),Rheumatoid factor,ANA (Antinuclear antibody),"ANA is the most sensitive screening test for SLE (almost 100%), though anti-dsDNA is more specific.",,,,Internal Medicine,مصدر2
Which pathogen is the most common cause of urinary tract infections?,Staphylococcus saprophyticus,Escherichia coli,Proteus mirabilis,Klebsiella pneumoniae,Escherichia coli,E. coli is responsible for 75-90% of uncomplicated UTIs.,,,,Internal Medicine,مصدر2
"A patient with a history of IV drug use presents with fever, a new heart murmur, and Janeway lesions. Diagnosis?",Rheumatic fever,Infective endocarditis,Myocarditis,Pericarditis,Infective endocarditis,"Fever, new murmur, and peripheral stigmata (Janeway lesions, Osler nodes) are classic for endocarditis.",,,,Internal Medicine,مصدر2
What is the diagnostic test of choice for pulmonary embolism?,Chest X-ray,D-dimer,CT pulmonary angiography (CTPA),Echocardiogram,CT pulmonary angiography (CTPA),CTPA is the gold standard and most commonly used imaging test to diagnose a PE.,,,,Internal Medicine,مصدر2
"A 50-year-old male presents with a ""fixed, split S2"" on cardiac auscultation. What is the congenital defect?",Ventricular septal defect,Atrial septal defect,Tetralogy of Fallot,Patent ductus arteriosus,Atrial septal defect,"An ASD classically produces a wide, fixed splitting of the second heart sound (S2).",,,,Internal Medicine,مصدر2
Which hepatitis virus requires a co-infection with Hepatitis B to replicate?,Hepatitis A,Hepatitis C,Hepatitis D,Hepatitis E,Hepatitis D,Hepatitis D is a defective virus that relies on the HBsAg coat from Hepatitis B to replicate.,,,,Internal Medicine,مصدر2
"A patient presents with polyuria, polydipsia, and a normal blood glucose. Urine specific gravity is low. Diagnosis?",Diabetes mellitus,Diabetes insipidus,Psychogenic polydipsia,SIADH,Diabetes insipidus,"DI involves a lack of ADH (or renal resistance), causing copious dilute urine despite normal blood glucose.",,,,Internal Medicine,مصدر2
Which ECG finding is pathognomonic for Wolff-Parkinson-White (WPW) syndrome?,ST elevation,Prolonged PR interval,Delta wave,Peaked T waves,Delta wave,A short PR interval and a delta wave (slurred QRS upstroke) characterize WPW due to the accessory pathway (Bundle of Kent).,,,,Internal Medicine,مصدر2
"A patient has fatigue, pallor, and a craving for ice (pica). Laboratory tests will likely show:","High ferritin, low TIBC","Low ferritin, high TIBC","Normal ferritin, high TIBC","Low ferritin, low TIBC","Low ferritin, high TIBC","These are signs of iron deficiency anemia, characterized by depleted iron stores (low ferritin) and high transferrin/TIBC.",,,,Internal Medicine,مصدر2
What is the most effective lifestyle intervention to lower blood pressure?,Weight loss,DASH diet,Sodium restriction,Aerobic exercise,Weight loss,Weight loss produces the most significant reduction in blood pressure among lifestyle modifications.,,,,Internal Medicine,مصدر2
