Q(1): Ø§ÙØ³Ø¤Ø§Ù,Ø®ÙØ§Ø± 1,Ø®ÙØ§Ø± 2,Ø®ÙØ§Ø± 3,Ø®ÙØ§Ø± 4,Ø§ÙØ¥Ø¬Ø§Ø¨Ø©,Ø§ÙØªÙØ³ÙØ±,Ø±Ø§Ø¨Ø· Ø§ÙØµÙØ±Ø©,Ø§Ø³Ù Ø§ÙÙÙÙ,Detailed,Subject,Source
Q(5324): Scenario 95: Which oral lesion is strongly associated with smokeless tobacco placement and often appears as hyperkeratotic plaques?,Smokeless tobacco keratosis,Oral lichen planus,Candidiasis,Aphthous ulcers,Smokeless tobacco keratosis,Lesions occur at site of tobacco placement with potential dysplasia.,,,Habit cessation advised.,Pathology,
Q(5338): Pseudomembranous removable white plaques in oral cavity caused by yeast?,Candidiasis,Histoplasmosis,Aspergillosis,Cryptococcosis,Candidiasis,"Candida albicans overgrowth, common in immunocompromised.",,,Treated with antifungal agents.,Oral Medicine,
Q(5341): Suprabasilar acantholysis and intraepithelial clefting is characteristic of?,Pemphigus vulgaris,Mucous membrane pemphigoid,Lichen planus,Lupus erythematosus,Pemphigus vulgaris,Autoimmune blistering disease with positive Nikolsky sign.,,,Life-threatening if untreated.,Oral Medicine,
Q(5342): Oral submucous fibrosis is a precancerous condition mainly caused by?,Areca nut chewing,Tobacco smoking,Alcohol consumption,Viral infection,Areca nut chewing,Causes progressive fibrosis and reduced mouth opening.,,,High malignant transformation risk.,Pathology,
"Q(5350): Painful, widespread oral blisters with positive Nikolsky sign?",Pemphigus vulgaris,Herpes simplex,Candidiasis,Lichen planus,Pemphigus vulgaris,Autoimmune intraepithelial blistering disease.,,,Requires systemic immunosuppression.,Oral Medicine,
Q(5353): Most common cause of oral candidiasis?,Candida albicans,Aspergillus,Histoplasma,Cryptococcus,Candida albicans,Normal commensal fungus causing opportunistic infection.,,,Presents as white plaques removable by scraping.,Oral Medicine,
Q(5354): Vesicles and ulcers on soft palate in children caused by?,Coxsackie virus,Herpes simplex,Varicella-zoster,Epstein-Barr virus,Coxsackie virus,Causes herpangina with vesicles on soft palate.,,,Self-limited viral illness.,Pedodontic,
Q(5362): What is the most common cause of oral candidiasis?,Candida albicans,Aspergillus fumigatus,Histoplasma capsulatum,Cryptococcus neoformans,Candida albicans,A commensal yeast that becomes pathogenic in immunocompromised conditions.,,,Presents as removable white plaques or erythematous patches.,Oral Medicine,
Q(5363): Which virus is primarily responsible for oral hairy leukoplakia?,Epstein-Barr virus (EBV),Herpes simplex virus (HSV),Human papillomavirus (HPV),Cytomegalovirus (CMV),Epstein-Barr virus (EBV),Causes corrugated white plaques on lateral tongue in immunocompromised patients.,,,Marker for immunosuppression such as HIV/AIDS.,Oral Medicine,
Q(5365): A patient with recurrent painful oral ulcers and a positive Nikolsky sign most likely has?,Pemphigus vulgaris,Mucous membrane pemphigoid,Oral lichen planus,Herpes simplex,Pemphigus vulgaris,An autoimmune intraepithelial blistering disease.,,,Prompt immunosuppressive therapy is required.,Oral Medicine,
Q(5374): The most common cause of traumatic ulcer in the oral cavity is?,Mechanical injury,Viral infection,Autoimmune disease,Fungal infection,Mechanical injury,"Often due to biting, sharp teeth, or dental appliances.",,,Usually heals within two weeks after removal of trauma.,Oral Medicine,
Q(5375): A patient with poorly controlled diabetes presents with erythematous patches on the palate. The diagnosis is?,Erythematous candidiasis,Leukoplakia,Oral lichen planus,Herpes simplex,Erythematous candidiasis,Candida infection favored by immunosuppression and hyperglycemia.,,,Treated with antifungal medication and glycemic control.,Oral Medicine,
Q(5381): Which virus causes vesicles and ulcers in children known as herpangina?,Coxsackie virus,Herpes simplex virus,Varicella-zoster virus,Epstein-Barr virus,Coxsackie virus,Causes vesicles on soft palate and tonsillar pillars.,,,Self-limited viral illness.,Pedodontic,
Q(5384): What is the best treatment for recurrent herpes labialis?,Acyclovir,Antibiotics,Corticosteroids,No treatment,Acyclovir,Antiviral therapy reduces severity and duration of outbreaks.,,,Early treatment is more effective.,Oral Medicine,
Q(8): What is the most common cause of a retained root in the maxilla?,Incomplete extraction,Root fracture,Infection,Anatomical variation,Incomplete extraction,"Retained roots are often the result of incomplete extraction, where portions of the tooth root remain embedded in the bone or soft tissue.",,,"The most common cause of a retained root in the maxilla is an incomplete extraction. This occurs when a portion of the tooth root breaks off and remains embedded in the alveolar bone or surrounding soft tissues during the tooth removal process. Several factors can contribute to root fracture during extraction, including brittle or curved roots, ankylosis (fusion of the tooth root to the bone), or the application of excessive or improper force during the procedure. While root fracture can lead to a retained root, the primary reason for its presence is the failure to completely remove all root fragments at the time of extraction. Infection or anatomical variations might complicate extractions and potentially increase the risk of root fracture, but the direct cause of a retained root is the incomplete removal of the tooth structure.",Oral Surgery,
"Q(15): In a patient with a mandibular fracture, which of the following is a common finding?",Tooth mobility,Tooth sensitivity,Bruxism,None of the above,Tooth mobility,Mandibular fractures often result in tooth mobility due to the disruption of the alveolar ridge.,,,"Tooth mobility is a common finding in cases of mandibular fractures due to the disruption of the alveolar ridge, the bony structure that holds the teeth in place. A fracture in the mandible can lead to the loosening of teeth, particularly those that are in the line of the fracture. The mobility of teeth occurs because the fracture compromises the structural integrity of the bone, which in turn affects the teeth. This can lead to difficulty in chewing, pain, and a need for stabilization or extraction of affected teeth.",Oral Surgery,
"Q(21): A 35-year-old woman complains of discomfort and swelling at the site of a dental implant restored 8 months ago. Probing elicits bleeding and suppuration, and the radiograph shows progressive crestal bone loss around the implant. What is the most appropriate diagnosis?",Cracked crown,Peri-implantitis,Peri-implant mucositis,Implant overloading,Peri-implantitis,Peri-implantitis includes both soft tissue inflammation and bone resorption around the implant.,,,"The most appropriate diagnosis for the patient with discomfort and swelling around a dental implant is peri-implantitis. Peri-implantitis is an inflammatory condition that affects both the soft tissues and the bone surrounding the implant. It is typically caused by bacterial infection, poor oral hygiene, or inadequate implant placement. The condition is characterized by pain, swelling, and radiographic evidence of bone loss around the implant. Immediate treatment is necessary to prevent further bone loss and potential implant failure.",Oral Surgery,
"Q(24): A 70-year-old patient presents with severe pain in the lower jaw, and a radiograph shows an impacted third molar causing bone loss. What is the most appropriate treatment?",Extraction of the impacted tooth,Antibiotic therapy,Root canal treatment,Conservative observation,Extraction of the impacted tooth,Impacted third molars causing significant pain and bone loss are best treated with extractio,,,"Impacted third molars that cause significant pain and bone loss should be treated with extraction. An impacted third molar can place pressure on adjacent teeth and bone, causing pain, infection, and bone resorption, as shown in the radiograph. Extraction is the most effective treatment option in this scenario to relieve pain and prevent further complications such as infection or damage to surrounding structure",Oral Surgery,
Q(29): A 29-year-old man came to the clinic complaining of severe pain related to his upper left molar. The tooth has a crown with good margins and no recurrent decay. The tooth has severe pain with percussion and palpation. What is the next step?,Sinus tract tracing,Intentional replantation,Cone beam computed tomography,Panoramic radiograph,Cone beam computed tomography,"With severe pain to percussion and palpation under a crown with good margins and no visible cause, CBCT gives a three-dimensional view of the periapical tissues, root fractures, missed canals and resorption that 2D films can miss, guiding the diagnosis before any irreversible treatment.",,,"Conventional periapical films superimpose structures and often fail to reveal the cause of persistent symptoms in a crowned tooth. Cone beam CT shows periapical bone changes, untreated or missed canals, vertical root fractures and perforations in three dimensions, and is the recommended next diagnostic step when clinical findings and 2D imaging are inconclusive.",Endodontic,
Q(31): What is the most predictable way to manage a perforated furcation?,Guided tissue regeneration,Root amputation,Extraction,Repair with MTA,Repair with MTA,85% success rate when sealed immediately (bioresponsive properties),,,"(29): The repair with MTA (Mineral Trioxide Aggregate) has an 85% success rate when sealed immediately, demonstrating its bioresponsive properties. MTA is highly effective in managing perforated furcations due to its sealing capabilities and favorable biological response, promoting healing and regeneration.",Endodontic,
"Q(35): A 34-year-old man, medically fit, came for replacement of missing upper right central incisor with an implant supported crown. Which of the following is an essential missing investigation?",complete blood count,magnetic resonance imaging,use of a fully adjustable articulator,diagnostic waxing and surgical template,diagnostic waxing and surgical template,"Implant planning protocol:
 1. Diagnostic wax-up determines:
 • Emergence profile
 • Pink esthetics
 • Crown-to-implant ratio
 2. Surgical template ensures proper 3D positioning
 • Fully adjustable articulator is optional
 • MRI/CBC not routinely required",,,"(33): Diagnostic waxing and surgical template are essential for implant planning. The diagnostic wax-up helps determine the emergence profile, pink esthetics, and crown-to-implant ratio, while the surgical template ensures proper 3D positioning of the implant. These steps are crucial for successful implant placement.",Oral Surgery,
Q(86): A 50-year-old male presents with pain in the upper jaw. Clinical examination reveals tenderness and swelling around the maxillary canine. Radiographs show a well-defined radiolucency associated with the tooth. What is the most likely diagnosis?,Dentigerous cyst,Periapical abscess,Granuloma,Ameloblastoma,Periapical abscess,A dentigerous cyst is associated with an UNERUPTED tooth. Tenderness + swelling around an erupted canine = periapical abscess.,,,,Oral Surgery,
"Q(90): A 45-year-old woman suffers from periodontitis. After conventional therapy, a deep pocket is noticed related to the upper left molar and open flap debridement is decided. After flap reflection, a 3 wall narrow deep intrabony defect is noticed. The vertical bone defect measures 7 mm. Which of the following is the best treatment approach?",Debridement with placement of xenograft alone,Debridement with placement of xenograft and barrier membrane,Debridement with placement of barrier membrane alone,Debridement alone,Debridement with placement of xenograft and barrier membrane,"A deep, narrow three-wall intrabony defect is the classic indication for regenerative surgery: debridement with a bone graft and barrier membrane (GTR) yields significantly greater attachment gain than open-flap debridement alone (EFP S3 guideline; Cortellini & Tonetti). Containment by three bony walls is the key predictor of regenerative success.",,,"(88): Narrow 3-wall defects have excellent regenerative potential. The intact walls provide stability for blood clot formation and natural bone regeneration without needing grafting materials or membranes. This type of defect has the best prognosis for natural healing following debridement, without the need for additional surgical interventions.",Periodontic,
Q(98): What is the most common complication following the removal of a third molar?,Dry socket,Nerve injury,Infection,Bleeding,Dry socket,"Dry socket is the most common complication following third molar extraction, characterized by severe pain after a few days.",,,"(96): Dry socket is the most common complication following third molar extraction, characterized by severe pain after a few days. It occurs when the blood clot is dislodged or fails to form properly, leaving the bone exposed to air and food particles, causing pain and delayed healing.",Oral Surgery,
Q(107): What is the primary cause of peri-implantitis?,Occlusal overload,Poor oral hygiene,Surgical trauma,Material toxicity,Poor oral hygiene,80% of cases associated with plaque accumulation,,,"(105): Poor oral hygiene is the primary cause of peri-implantitis. This condition results from the accumulation of plaque around the implant, leading to inflammation, bone loss, and potential implant failure. Maintaining proper oral hygiene is essential to prevent peri-implantitis and ensure the longevity of dental implants.",Oral Surgery,
Q(113): A 13-year-old boy comes to the dental clinic for a tooth extraction. He expresses understanding of the procedure and agrees to undergo it. Which of the following people should provide consent for the treatment?,The patient,The patient’s legal guardian,The dentist,The dental assistant,The patient’s legal guardian,"As the patient is a minor, legal consent must be obtained from a parent or guardian, not the patient themselves.",,,"(111): As the patient is a minor, legal consent must be obtained from a parent or guardian, not the patient themselves. Minors cannot legally provide informed consent, so the responsibility lies with the parent or guardian to make medical decisions on their behalf.",Oral Surgery,
Q(132): What is the preferred method for managing a fractured condyle?,Conservative treatment,Open reduction and internal fixation (ORIF),Extraction of the tooth,Intravenous sedation,Conservative treatment,"Fractures of the condyle, especially non-displaced ones, are often managed conservatively with close monitoring.",,,"(130): Fractures of the condyle, especially non-displaced ones, are often managed conservatively with close monitoring. This approach allows for natural healing and restoration of function without the need for surgery, unless there is displacement or other complicating factors.",Oral Surgery,
Q(136): A 44-year-old man presented for extraction of a remaining root using a four-corner flap. There was no swelling or purulence in the area. Which of the following is the class of this operative wound?,Dirty,Clean,Contaminated,Clean-contaminated,Clean-contaminated,"Surgical wounds that enter the oral cavity are classified as clean-contaminated (Class II): the aerodigestive tract is entered under controlled conditions without active infection. A truly ""clean"" wound involves no entry into a colonized tract.",,,"(134): The surgical wound is classified as clean-contaminated due to the nature of the procedure. While the surgical procedure involved is relatively clean, the wound is at increased risk of contamination because it is in the mouth, a naturally contaminated area. The classification helps guide post-operative care and antibiotic usage.",Oral Surgery,
Q(156): A 50-year-old male presents with pain and swelling around the lower left third molar. Radiographs show an impacted tooth. What is the most appropriate next step?,Extraction,Antibiotic therapy,Pericoronal flap surgery,Observation,Extraction,"The impacted third molar is likely causing the pain and swelling, so extraction is recommended.",,,"(154): The impacted third molar is likely causing the pain and swelling, so extraction is recommended. When third molars are impacted, they can lead to repeated infections, pain, and swelling, making extraction the most effective solution.",Oral Surgery,
Q(163): What is the most common complication associated with the removal of an impacted maxillary canine?,Infection,Sinus perforation,Hemorrhage,Nerve injury,Sinus perforation,"The maxillary canine is located near the maxillary sinus, and its removal can lead to sinus perforation, which may require additional care.",,,"(161): The maxillary canine is located near the maxillary sinus, and its removal can lead to sinus perforation, which may require additional care. This complication occurs due to the close proximity of the canine root to the sinus cavity.",Oral Surgery,
Q(168): A 30-year-old man presents to the clinic with an acute peri-apical abscess related to the maxillary 2nd molar tooth. Clinical examination reveals a broken tooth indicated for extraction. Which of the following is the most appropriate local anaesthetic technique for this case?,Buccal and palatal infiltration,Infraorbital nerve block,Middle superior alveolar nerve block,Posterior superior alveolar plus greater palatine nerve blocks,Posterior superior alveolar plus greater palatine nerve blocks,"Extraction of a maxillary second molar requires anesthesia of both the buccal tissues and pulp (posterior superior alveolar block) AND the palatal tissues (greater palatine block); blocks are chosen over local infiltration into the inflamed, acidic abscess area.",,,"(166): The posterior superior alveolar nerve block is the most appropriate for providing adequate anesthesia to the maxillary molars and surrounding tissues. This technique ensures complete anesthesia of the posterior maxillary teeth, facilitating pain-free procedures.",Oral Surgery,
Q(188): A 38-year-old man presents with severe pain and swelling in his upper right third molar. Clinical examination reveals a partially erupted tooth with inflammation around the surrounding soft tissues. What is the most appropriate treatment?,Extraction of the third molar,Antibiotic therapy,Root canal treatment,Incision and drainage,Extraction of the third molar,"Partially erupted third molars are prone to infection and inflammation, often requiring extraction to resolve the issue and prevent further complications.",,,"(186): Partially erupted third molars are prone to infection and inflammation, often requiring extraction to resolve the issue and prevent further complications. These teeth can trap food and bacteria, leading to pericoronitis or other infections, making extraction the most effective treatment.",Oral Surgery,
Q(191): What is the most common reason for implant failure after the prosthetic phase?,Peri-implantitis,Occlusal overload,Infection,Poor aesthetic outcome,Peri-implantitis,"After the prosthetic phase, the most common cause of implant failure is peri-implantitis - plaque-associated inflammation with progressive bone loss. Occlusal overload can contribute, but the biologic complication dominates late failures.",,,"Early failures (before loading) reflect failed osseointegration; late failures are led by peri-implant disease, which is why maintenance, hygiene and radiographic monitoring after prosthesis delivery are essential.",Oral Surgery,
Q(199): What is the most common complication after implant placement in the maxillary posterior region?,Sinus perforation,Bone graft failure,Nerve injury,Inadequate soft tissue coverage,Sinus perforation,"Due to the proximity to the maxillary sinus, implants placed in the posterior maxilla are at risk for sinus perforation during placement.",,,"(197): Due to the proximity to the maxillary sinus, implants placed in the posterior maxilla are at risk for sinus perforation during placement. This complication can result in sinus infections or require surgical intervention to correct.",Oral Surgery,
Q(205): A 55-year-old man presents with pain in the right side. What is the most ethical course of action for performing an extraction for free?,Performing the extraction for free,Referring the patient to a charity clinic,Offering the patient a payment plan,Explaining to the patient that you cannot perform the procedure for free,Explaining to the patient that you cannot perform the procedure for free,It is important to explain the limitations of treatment and offer alternatives like payment plans or referrals to charity clinics.,,,"(203): It is important to explain the limitations of treatment and offer alternatives like payment plans or referrals to charity clinics. As a healthcare provider, it is essential to maintain professionalism while respecting both the patient's financial limitations and the ethical guidelines of the practice.",Oral Surgery,
Q(232): What is the most common complication following the extraction of primary teeth?,Infection,Pain,Hemorrhage,Nerve damage,Pain,"Pain is the most common complication after tooth extraction in children, though it can be managed effectively.",,,"(230) The most common complication following the extraction of primary teeth is pain. Although it is generally mild and resolves within a few days, post-operative pain is the most frequent complaint from patients after tooth extraction. The pain can result from the inflammation caused by the surgical procedure, as well as from the pressure applied to the tooth during extraction. In most cases, the pain can be managed with over-the-counter pain relievers and proper aftercare instructions. However, if the pain persists or worsens, it may indicate complications such as infection or dry socket, which require further evaluation and treatment.",Oral Surgery,
Q(240): Which of the following is the absolute diagnostic criterion for lack of osseointegration of an implant?,mobility,pocket formation,bleeding on probing,radiographic marginal bone loss,mobility,Mobility is pathognomonic for failed osseointegration (vs peri-implantitis),,,"(238) Mobility is the absolute diagnostic criterion for the lack of osseointegration of an implant. When an implant fails to properly integrate with the surrounding bone, it can become mobile, indicating that the bone has not fused sufficiently with the implant. This failure is often referred to as ""failed osseointegration."" While other signs, such as pocket formation or radiographic bone loss, can suggest peri-implantitis (infection around the implant), mobility is the definitive sign of implant failure. Immediate intervention is required to address the issue, which may include removing the implant and allowing the area to heal before considering reimplantation.",Oral Surgery,
Q(248): What is the most common complication following immediate implant placement?,Infection,Peri-implantitis,Soft tissue dehiscence,Implant failure,Soft tissue dehiscence,Immediate implant placement can lead to soft tissue dehiscence due to insufficient soft tissue support or excessive surgical manipulation.,,,"(246) Soft tissue dehiscence is the most common complication following immediate implant placement. This occurs when the soft tissue does not fully cover the implant, often due to insufficient soft tissue support or excessive manipulation during surgery. The lack of proper soft tissue coverage can lead to exposure of the implant, which may increase the risk of infection and delayed healing. It is essential to provide adequate soft tissue management and use techniques such as flap closure to ensure that the tissue is securely placed around the implant.",Oral Surgery,
Q(279): What is the typical success rate of dental implants in healthy patients?,50-60%,70-80%,85-90%,90-95%,90-95%,"The success rate of dental implants in healthy patients is typically 90-95%, provided proper bone quality and healing are present.",,,"(277): The typical success rate of dental implants in healthy patients is 90-95%, provided that the patient has good bone quality and proper healing conditions. Implants have become a highly reliable method for replacing missing teeth, with success rates in this range being common in healthy individuals. Factors that contribute to a high success rate include adequate bone volume and density, a well-maintained oral hygiene routine, and the absence of systemic conditions that could interfere with healing. Successful implant placement restores both the function and aesthetics of the dentition, making it a preferred treatment option for tooth loss.",Oral Surgery,
Q(306): When should a patient be considered for an implant-supported denture?,After full denture placement,When there is sufficient bone for implant placement,After one year of using a partial denture,Only after multiple failed traditional dentures,When there is sufficient bone for implant placement,"Implant-supported dentures are ideal when there is adequate bone available to support the implants, improving retention and function.",,,"An implant-supported (or implant-retained) overdenture is considered when the patient has adequate bone volume and density for implant placement, or can receive grafting. It markedly improves retention, stability and chewing efficiency compared with a conventional denture, and the two-implant mandibular overdenture is recognized (McGill consensus) as the first-choice standard of care for the edentulous mandible.",Removable Prosthodontic,
Q(308): A 27-year-old woman attended for prosthetic treatment phase of surgically placed dental implant #21. Distal interdental papilla was lost following extraction of tooth #21. Which of the following is the ideal distance (in mm) between distal interproximal contact area and bone crest for papilla regrowth?,less than 5,less than 6,less than 7,less than 8,less than 5,"Tarnow's Rule:
 - ≤5mm: 98% papilla fill
 - Each 1mm increase reduces fill by 50%
 - Based on vascular supply limitations",,,"Tarnow's classic study showed that when the distance from the interproximal contact point to the alveolar bone crest is 5 mm or less, the papilla fills the embrasure in nearly 100% of cases; at 6 mm it fills in about half, and at 7 mm or more in only about 25%. Keeping the contact-to-crest distance under 5 mm is therefore the goal for papilla regrowth around implants.",Oral Surgery,
Q(325): What is the ideal method of anesthesia for a patient undergoing wisdom tooth extraction?,Local anesthesia with sedation,General anesthesia,Local anesthesia only,Regional nerve block only,Local anesthesia with sedation,"Local anesthesia provides pain relief, while sedation helps reduce anxiety during the procedure.",,,"323: The ideal method of anesthesia for a patient undergoing wisdom tooth extraction is typically **Local anesthesia with sedation**. Local anesthesia provides profound pain control by blocking nerve impulses in the surgical area. Sedation (which can range from minimal conscious sedation to deeper levels) helps to reduce patient anxiety, manage gag reflexes, increase comfort, and make the procedure more tolerable, especially for longer or more complex extractions. While local anesthesia alone is possible for straightforward cases, sedation is often preferred for surgical extractions like wisdom teeth due to the potential for increased patient stress and discomfort.",Oral Surgery,
"Q(354): A patient presents with redness, swelling, and tenderness in the gums surrounding the lower third molar. What is the most likely diagnosis?",Pericoronitis,Periodontal disease,Gingivitis,Tooth abscess,Pericoronitis,"Pericoronitis is an infection around a partially erupted tooth, often the third molar, causing gum inflammation and pain.",,,"352: Redness, swelling, and tenderness in the gums surrounding a partially erupted lower third molar are classic clinical signs of Pericoronitis.",Oral Surgery,
Q(362): Which factor can lead to implant failure in patients with diabetes?,Poor bone density,Increased blood glucose levels,Age of the patient,Poor oral hygiene,Increased blood glucose levels,"Uncontrolled blood glucose levels in diabetic patients can impair the healing process and affect osseointegration, leading to implant failure.",,,"360: Uncontrolled Increased blood glucose levels in diabetic patients significantly impair wound healing and osseointegration, increasing the risk of dental implant failure.",Oral Surgery,
Q(373): What is the most common complication of dental implants in patients who smoke?,Poor osseointegration,Increased healing time,Infection,Bone resorption,Poor osseointegration,"Smoking negatively impacts healing and osseointegration, increasing the risk of implant failure.",,,"371: Poor osseointegration, due to impaired healing and blood flow, is the most common complication leading to implant failure in patients who smoke.",Oral Surgery,
Q(379): A 29-year-old patient complains of impacted tooth #38. What is the consequence of surgical extraction of an impacted third molar?,Creation of a vertical defect,Creation of a periapical lesion,Creation of a horizontal defect,Creation of furcation involvement,Creation of a vertical defect,Vertical bone loss can occur when extracting an impacted third molar.,,,"377: A consequence of surgically extracting an impacted mandibular third molar, especially when deeply impacted, can be the Creation of a vertical bone defect distal to the adjacent second molar.",Oral Surgery,
Q(388): What is the most common complication of a subperiosteal implant?,Infection,Bone resorption,Implant failure,Nerve injury,Bone resorption,"Bone resorption around the implant is a common complication, often due to improper implant placement or failure of osseointegration.",,,"386: Historically, the most common complication of a subperiosteal implant was Bone resorption beneath the framework due to lack of direct osseointegration.",Oral Surgery,
Q(395): A 65-year-old man on 81 mg aspirin daily needs a dental extraction. What is the recommended action regarding his aspirin intake?,Continue use of daily aspirin,Change the antiplatelet therapy,Stop aspirin 24 hours before procedure,Ensure INR is below 3,Continue use of daily aspirin,Low-dose aspirin carries a low bleeding risk; discontinuing it may increase thrombotic risk.,,,"393: For a patient taking low-dose aspirin daily, the recommended action regarding aspirin intake before routine dental extraction is to Continue use of daily aspirin, as the risk of bleeding complications is low and outweighed by the risk of discontinuing the medication.",Oral Surgery,
Q(396): A 50-year-old male presents with an impacted upper canine that has caused resorption of the adjacent teeth. Radiographs show the canine in a horizontal position.,Horizontal impaction,Vertical impaction,Ectopic eruption,Supernumerary tooth,Horizontal impaction,"Horizontal impaction of a tooth can lead to damage to adjacent teeth, as seen in this case with the upper canine.",,,"394: If an impacted upper canine has caused resorption of adjacent teeth and radiographs show it in a horizontal position, the diagnosis of Horizontal impaction describes its orientation within the bone.",Oral Surgery,
Q(418): A 60-year-old patient presents with complete dentures that constantly loosen during eating. Examination shows significant ridge resorption. What is the most predictable solution?,Denture adhesives,Relining,Implant overdenture,New dentures,Implant overdenture,2-4 implants improve retention by 300% (McGill Consensus 2002),,,"416: For a patient with complete dentures that constantly loosen due to significant ridge resorption, an Implant overdenture is typically the most predictable solution for improved retention and stability.",Removable Prosthodontic,
Q(432): What is the most common complication following dental implant placement?,Infection,Implant failure,Nerve injury,Peri-implantitis,Peri-implantitis,"Peri-implantitis, a bacterial infection around the implant, is one of the most common complications, leading to bone loss and potential implant failure.",,,"430: Peri-implantitis, a bacterial infection causing inflammation and bone loss around an implant, is one of the most common complications following dental implant placement.",Oral Surgery,
Q(442): A 38-year-old woman presents to the clinic with severe pain in the left mandibular 2nd molar tooth and trismus. Clinical examination reveals a badly decayed non-restorable tooth indicated for extraction. Which of the following is the most appropriate local anesthetic technique for this case?,Gow-gates technique,Inferior alveolar nerve block,Vazirani-Akinosi technique,Infraorbital nerve block,Vazirani-Akinosi technique,"Trismus prevents the wide opening required for a standard inferior alveolar (or Gow-Gates) block. The Vazirani-Akinosi closed-mouth technique is administered with the teeth in occlusion, making it the block of choice for patients with limited mouth opening.",,,"With the patient closed, the needle is advanced parallel to the maxillary occlusal plane at the level of the mucogingival junction of the maxillary molars, anesthetizing the inferior alveolar, lingual and mylohyoid nerves. Once anesthesia relieves the muscle spasm, opening often improves and extraction can proceed.",Oral Surgery,
Q(451): What is the most common complication of wisdom tooth extraction?,Infection,Bleeding,Nerve damage,Dry socket,Dry socket,"Dry socket is a common complication after wisdom tooth extraction, leading to delayed healing and pain.",,,"449: Dry socket (Alveolar Osteitis), caused by premature loss of the blood clot from the extraction socket, is the most common complication following wisdom tooth extraction, leading to delayed healing and severe pain.",Oral Surgery,
Q(462): What is the minimum space needed between implant and tooth?,0.5mm,1.0mm,1.5mm,2.0mm,1.5mm,Prevents biological width violation,,,460: A minimum space of 1.5 mm is recommended between a dental implant and an adjacent natural tooth to preserve biological width and maintain the health of surrounding tissues.,Oral Surgery,
Q(465): A 28-year-old male presents with a swollen jaw and discomfort around the lower third molar. Radiographs show an impacted third molar with an associated pericoronal radiolucency. What is the most appropriate treatment?,Extraction of the third molar,Antibiotic therapy,Surgical removal of the pericoronal cyst,Drainage of the abscess,Extraction of the third molar,Impacted third molars with associated pericoronitis or cysts usually require extraction to prevent complications.,,,"463: An impacted lower third molar with associated swelling, discomfort, and a pericoronal radiolucency typically requires Extraction of the third molar as the definitive treatment to remove the source of infection/pathology.",Oral Surgery,
Q(472): Bone defect distal to mandibular 2nd molar?,1-wall,2-wall,3-wall,4-wall,3-wall,Common vertical defect morphology,,,470: A bone defect distal to the mandibular second molar following the extraction of an impacted third molar is commonly a 3-wall vertical defect morphology.,Oral Surgery,
"Q(499): A 32-year-old man presents to the clinic for extraction of a badly decayed mandibular first molar tooth. After a prolonged extraction, the patient couldn't close his mouth due to TMJ dislocation. Which of the following is the most appropriate direction to move the mandible to manage this emergency?",Push downward then backward,Push backward then upward,Push downward then forward,Push forward then upward,Push downward then backward,The downward and backward movement helps reposition the mandibular condyle back into the glenoid fossa during a TMJ dislocation.,,,"497: To manage a TMJ dislocation after prolonged extraction, the most appropriate direction to move the mandible for repositioning is Push downward then backward to guide the condyle back into the glenoid fossa.",Oral Surgery,
Q(527): What is the most common failure mode of dental implants?,Peri-implantitis,Mechanical failure,Lack of osseointegration,Implant fracture,Lack of osseointegration,"Lack of osseointegration is the most common cause of implant failure, as the implant fails to integrate with the surrounding bone.",,,"525: Lack of osseointegration, where the implant fails to establish a stable structural connection with the surrounding bone, is a common early cause of dental implant failure.",Oral Surgery,
Q(530): What is the most common cause of persistent post-surgical pain following dental implant placement?,Infection,Nerve injury,Inadequate osseointegration,Sinus involvement,Inadequate osseointegration,Failure of the implant to integrate with the bone (osseointegration failure) is a common cause of persistent post-surgical pain.,,,"528: Inadequate osseointegration, the failure of the implant to integrate properly with the bone, is a common cause of persistent post-surgical pain and potential failure following dental implant placement.",Oral Surgery,
Q(534): What is the preferred method for determining implant size and placement before surgery?,Clinical examination,Pre-operative radiographs,Surgical guide,Visual inspection,Surgical guide,"A surgical guide is used to plan and place the implant accurately, ensuring proper depth, angle, and position.",,,"532: A Surgical guide, based on pre-operative imaging (like CBCT), is the preferred method for determining implant size and placement before surgery to ensure accurate 3D positioning.",Oral Surgery,
Q(542): What is the most common complication of implant-supported crowns?,Peri-implantitis,Failure of osseointegration,Poor esthetics,Bite misalignment,Peri-implantitis,"Peri-implantitis is an inflammatory condition affecting the tissues around the implant, leading to bone loss and potential implant failure.",,,"540: Peri-implantitis, an inflammatory condition affecting the tissues around an implant leading to bone loss, is the most common long-term biological complication of implant-supported crowns.",Oral Surgery,
Q(553): A hypertensive on 81 mg aspirin needs extraction—what do you do?,Continue daily aspirin,Change antiplatelet therapy,Stop aspirin 24 h prior,Check INR <3,Continue daily aspirin,Low-dose aspirin poses minimal bleeding risk; do not discontinue.,,,"551: For a hypertensive patient taking low-dose (81mg) aspirin daily, it is recommended to Continue daily aspirin use before superficial scaling, as the bleeding risk is minimal and discontinuing increases thrombotic risk.",Oral Surgery,
